NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAH6	1575	10.850780487060547	-0.0645463	Yes	
row_1	DNAH12	1665	5.962573528289795	0.01474604	Yes	
row_2	DNAH5	1704	5.686132907867432	0.09729002	Yes	
row_3	DNAH9	1732	5.501689434051514	0.17860007	Yes	
row_4	DNAH3	1899	4.9281182289123535	0.23047334	Yes	
row_5	TUBB1	2249	4.170053482055664	0.24354623	Yes	
row_6	DNAH1	2267	4.15552282333374	0.30546272	Yes	
row_7	DNAH8	2568	3.776151180267334	0.31967047	Yes	
row_8	DNAH17	2689	3.653144598007202	0.3585747	Yes	
row_9	DNAH2	3149	3.2865262031555176	0.34169123	No	
row_10	DNAH11	3603	2.991874933242798	0.32112616	No	
row_11	DNAH7	3988	2.8297977447509766	0.30824623	No	
row_12	DNAL1	5072	2.402055263519287	0.18542372	No	
row_13	HAP1	5395	2.292102098464966	0.17337057	No	
row_14	DNALI1	6342	2.0111498832702637	0.06473559	No	
